id,name,lng,lat,tag,created_at,updated_at
103,Spotts Bay Alternate Cruise Facility of Port Authority,-81.318644,19.272867,0,2019-05-31 15:55:05.311211,2019-05-31 15:55:05.311211
104,Unbekannter Ort,-81.38303,19.293429,0,2019-05-31 15:55:05.318456,2019-05-31 15:55:05.318456
105,Doctors Cave Beach,-77.92881,18.488201,0,2019-05-31 15:55:05.325439,2019-05-31 15:55:05.325439
106,Discovery Bay,-77.407307,18.464932,0,2019-05-31 15:55:05.332582,2019-05-31 15:55:05.332582
107,Dunn's River Falls and Park,-77.137868,18.415848,0,2019-05-31 15:55:05.339791,2019-05-31 15:55:05.339791
108,Barcelona,2.1774174,41.382883,0,2019-05-31 15:55:05.348181,2019-05-31 15:55:05.348181
109,Paris,2.3514821,48.856602,0,2019-05-31 15:55:05.361752,2019-05-31 15:55:05.361752
110,Birmingham,-1.8948628,52.477675,0,2019-05-31 15:55:05.369905,2019-05-31 15:55:05.369905
111,Edinburg,-3.191507,55.949553,0,2019-05-31 15:55:05.379544,2019-05-31 15:55:05.379544
112,Dublin,-6.2602552,53.349774,0,2019-05-31 15:55:05.388259,2019-05-31 15:55:05.388259
113,Marseille,5.3699332,43.296187,0,2019-05-31 15:55:05.397226,2019-05-31 15:55:05.397226
114,Palma de Mallorca,2.650087,39.569593,0,2019-05-31 15:55:05.405548,2019-05-31 15:55:05.405548
115,Ibiza Stadt,1.4340379,38.909423,0,2019-05-31 15:55:05.418582,2019-05-31 15:55:05.418582
116,Las Palmas de Gran Canaria,-15.435042,28.128787,0,2019-05-31 15:55:05.431662,2019-05-31 15:55:05.431662
117,Santa Cruz de Tenerife,-16.253652,28.459772,0,2019-05-31 15:55:05.439886,2019-05-31 15:55:05.439886
118,Arrecife,-13.549899,28.963978,0,2019-05-31 15:55:05.45282,2019-05-31 15:55:05.45282
119,Funchal,-16.908669,32.649659,0,2019-05-31 15:55:05.485311,2019-05-31 15:55:05.485311
120,Unbekannter Ort,-5.50445,50.12305,0,2019-05-31 15:55:05.520352,2019-05-31 15:55:05.520352
121,Southampton,-1.4041688,50.902537,0,2019-05-31 15:55:05.530065,2019-05-31 15:55:05.530065
122,Le Havre,0.10795372,49.493905,0,2019-05-31 15:55:05.53931,2019-05-31 15:55:05.53931
123,Brügge,3.2267838,51.208541,0,2019-05-31 15:55:05.548204,2019-05-31 15:55:05.548204
124,Rotterdam,4.4631749,51.922902,0,2019-05-31 15:55:05.558541,2019-05-31 15:55:05.558541
125,Lüneburg,10.407852,53.248697,0,2019-05-31 15:55:05.566185,2019-05-31 15:55:05.566185
126,München,11.575364,48.1371,0,2019-05-31 15:55:05.573575,2019-05-31 15:55:05.573575
127,Nürnberg,11.077289,49.453861,0,2019-05-31 15:55:05.596032,2019-05-31 15:55:05.596032
128,Erlangen,11.003646,49.59813,0,2019-05-31 15:55:05.604634,2019-05-31 15:55:05.604634
129,Osnabrück,8.0497393,52.266836,0,2019-05-31 15:55:05.623842,2019-05-31 15:55:05.623842
130,Prag,14.421253,50.087455,0,2019-05-31 15:55:05.665363,2019-05-31 15:55:05.665363
131,Berlin,13.388881,52.517048,0,2019-05-31 15:55:05.678981,2019-05-31 15:55:05.678981
132,Leipzig,12.381057,51.339183,0,2019-05-31 15:55:05.696508,2019-05-31 15:55:05.696508
133,Magdeburg,11.639952,52.131583,0,2019-05-31 15:55:05.705365,2019-05-31 15:55:05.705365
134,Aix-en-Provence,5.4474812,43.52984,0,2019-05-31 15:55:05.715883,2019-05-31 15:55:05.715883
135,Plaza de la Aduana,-75.550279,10.422169,0,2019-05-31 15:55:05.722833,2019-05-31 15:55:05.722833
136,Choco Museum and Workshops,-75.550883,10.422726,0,2019-05-31 15:55:05.74642,2019-05-31 15:55:05.74642
137,Playita de Amador,-79.528347,8.913218,0,2019-05-31 15:55:05.761212,2019-05-31 15:55:05.761212
138,Cueva La Arena,-69.464926,19.080488,0,2019-05-31 15:55:05.771654,2019-05-31 15:55:05.771654
139,Terminal de croisière,-61.072563,14.601043,0,2019-05-31 15:55:05.780307,2019-05-31 15:55:05.780307
140,Panorama,-61.758133,17.01105,0,2019-05-31 15:55:05.790335,2019-05-31 15:55:05.790335
141,Nelson Dockyards,-61.765139,17.00807,0,2019-05-31 15:55:05.800046,2019-05-31 15:55:05.800046
142,Shirley Heights,-61.755032,17.00226,0,2019-05-31 15:55:05.811947,2019-05-31 15:55:05.811947
